=== RUN   TestWorkerDeploymentSuite
=== PAUSE TestWorkerDeploymentSuite
=== CONT  TestWorkerDeploymentSuite
    logger.go:146: 2025-06-27T16:21:01.149-0400	info	created database	{"database": "test_0627202101_wgh", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/common/persistence/sql/test_sql_persistence.go:137"}
    logger.go:146: 2025-06-27T16:21:01.158-0400	debug	OnStart hook executing	{"callee": "go.temporal.io/server/common/dynamicconfig.(*Collection).Start-fm()", "caller": "go.temporal.io/server/common/dynamicconfig.init.func1", "component": "fx", "host": "127.0.0.1:58316", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1025"}
    logger.go:146: 2025-06-27T16:21:01.158-0400	debug	OnStart hook executed	{"callee": "go.temporal.io/server/common/dynamicconfig.(*Collection).Start-fm()", "caller": "go.temporal.io/server/common/dynamicconfig.init.func1", "component": "fx", "host": "127.0.0.1:58316", "runtime": "11.458µs", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1039"}
    logger.go:146: 2025-06-27T16:21:01.158-0400	debug	OnStart hook executing	{"callee": "go.temporal.io/server/temporal.init.func1.2()", "caller": "go.temporal.io/server/temporal.init.func1", "component": "fx", "host": "127.0.0.1:58316", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1025"}
    logger.go:146: 2025-06-27T16:21:01.158-0400	debug	OnStart hook executed	{"callee": "go.temporal.io/server/temporal.init.func1.2()", "caller": "go.temporal.io/server/temporal.init.func1", "component": "fx", "host": "127.0.0.1:58316", "runtime": "209ns", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1039"}
    logger.go:146: 2025-06-27T16:21:01.158-0400	debug	OnStart hook executing	{"callee": "go.temporal.io/server/common/cluster.MetadataLifetimeHooks.func1()", "caller": "go.temporal.io/server/common/cluster.MetadataLifetimeHooks", "component": "fx", "host": "127.0.0.1:58316", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1025"}
    logger.go:146: 2025-06-27T16:21:01.158-0400	debug	OnStart hook executed	{"callee": "go.temporal.io/server/common/cluster.MetadataLifetimeHooks.func1()", "caller": "go.temporal.io/server/common/cluster.MetadataLifetimeHooks", "component": "fx", "host": "127.0.0.1:58316", "runtime": "100.333µs", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1039"}
    logger.go:146: 2025-06-27T16:21:01.158-0400	debug	OnStart hook executing	{"callee": "go.temporal.io/server/common/namespace.Registry.Start-fm()", "caller": "go.temporal.io/server/common/namespace/nsregistry.RegistryLifetimeHooks", "component": "fx", "host": "127.0.0.1:58316", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1025"}
    logger.go:146: 2025-06-27T16:21:01.158-0400	debug	OnStart hook executed	{"callee": "go.temporal.io/server/common/namespace.Registry.Start-fm()", "caller": "go.temporal.io/server/common/namespace/nsregistry.RegistryLifetimeHooks", "component": "fx", "host": "127.0.0.1:58316", "runtime": "58.583µs", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1039"}
    logger.go:146: 2025-06-27T16:21:01.158-0400	debug	OnStart hook executing	{"callee": "go.temporal.io/server/common/metrics.RuntimeMetricsReporterLifetimeHooks.func1()", "caller": "go.temporal.io/server/common/metrics.RuntimeMetricsReporterLifetimeHooks", "component": "fx", "host": "127.0.0.1:58316", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1025"}
    logger.go:146: 2025-06-27T16:21:01.158-0400	info	RuntimeMetricsReporter started	{"host": "127.0.0.1:58316", "service": "matching", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/common/metrics/runtime.go:120"}
    logger.go:146: 2025-06-27T16:21:01.158-0400	debug	OnStart hook executed	{"callee": "go.temporal.io/server/common/metrics.RuntimeMetricsReporterLifetimeHooks.func1()", "caller": "go.temporal.io/server/common/metrics.RuntimeMetricsReporterLifetimeHooks", "component": "fx", "host": "127.0.0.1:58316", "runtime": "73.459µs", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1039"}
    logger.go:146: 2025-06-27T16:21:01.158-0400	debug	OnStart hook executing	{"callee": "go.temporal.io/server/common/deadlock.(*deadlockDetector).Start-fm()", "caller": "go.temporal.io/server/common/deadlock.init.func1", "component": "fx", "host": "127.0.0.1:58316", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1025"}
    logger.go:146: 2025-06-27T16:21:01.158-0400	debug	OnStart hook executed	{"callee": "go.temporal.io/server/common/deadlock.(*deadlockDetector).Start-fm()", "caller": "go.temporal.io/server/common/deadlock.init.func1", "component": "fx", "host": "127.0.0.1:58316", "runtime": "5.209µs", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1039"}
    logger.go:146: 2025-06-27T16:21:01.158-0400	debug	OnStart hook executing	{"callee": "go.temporal.io/server/service/matching/workers.(*registryImpl).Start-fm()", "caller": "go.temporal.io/server/service/matching/workers.NewRegistry", "component": "fx", "host": "127.0.0.1:58316", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1025"}
